laser wavelength:1530nm,set power:1.0dBm,grid dimension:31
left,328.280602,-4469.488479,-18.7206459
left,328.28256,-4468.986242,-18.7764549
left,328.281638,-4468.489084,-18.8695374
left,328.280391,-4467.990116,-19.0181618
left,328.280059,-4467.485572,-19.1935272
left,328.279357,-4466.986757,-19.4132423
left,328.281097,-4466.486584,-19.6733437
left,328.279323,-4465.986333,-19.9677925
left,328.28153399999997,-4465.48646,-20.3201485
left,328.281294,-4464.989672,-20.7675171
left,328.280516,-4464.48662,-21.2142601
left,328.27950999999996,-4463.990691,-21.7032394
left,328.279923,-4463.487048,-22.2381248
left,328.280577,-4462.987544,-22.8108673
left,328.780788,-4477.989745,-20.8755989
left,328.781057,-4477.488351999999,-20.4956169
left,328.77952799999997,-4476.986648,-20.1567802
left,328.78036399999996,-4476.488066,-19.8352127
left,328.78160399999996,-4475.9881159999995,-19.5416298
left,328.780709,-4475.488587,-19.2877274
left,328.779522,-4474.987613,-19.0442924
left,328.780594,-4474.488461999999,-18.825634
left,328.78093,-4473.986302,-18.6288223
left,328.779287,-4473.489071999999,-18.4538841
left,328.782154,-4472.987657,-18.3025246
left,328.78036399999996,-4472.48676,-18.1744804
left,328.78200599999997,-4471.986765,-18.0695496
left,328.781787,-4471.4895879999995,-18.0132217
left,328.780189,-4470.988496,-17.9549217
left,328.780963,-4470.48801,-17.9257278
left,328.78104099999996,-4469.989057,-17.9233856
left,328.779923,-4469.4870439999995,-17.9510231
left,328.78175999999996,-4468.988818,-18.0065155
left,328.77948,-4468.487388,-18.1289864
left,328.780246,-4467.986674,-18.2592735
left,328.780689,-4467.489023,-18.4287987
left,328.779865,-4466.988047,-18.6414719
left,328.779783,-4466.4868639999995,-18.897892
left,328.78092899999996,-4465.987317,-19.1987915
left,328.780915,-4465.487613,-19.5500336
left,328.780763,-4464.987687,-19.999897
left,328.78133199999996,-4464.488267,-20.4410095
left,328.782451,-4463.988203,-20.9314194
left,328.780489,-4463.48768,-21.4695358
left,328.782148,-4462.985067,-22.0560837
left,329.281023,-4477.990248,-20.1617012
left,329.283062,-4477.48831,-19.7816696
left,329.279917,-4476.988402999999,-19.4375725
left,329.278953,-4476.4895639999995,-19.1131172
left,329.280513,-4475.9871299999995,-18.8172455
left,329.280571,-4475.489073,-18.5473671
left,329.280581,-4474.988975,-18.3262329
left,329.28132,-4474.488482,-18.1066704
left,329.281344,-4473.987537,-17.9101448
left,329.280063,-4473.488562,-17.7346992
left,329.28092699999996,-4472.98809,-17.5781822
left,329.279685,-4472.489618,-17.4510918
left,329.281721,-4471.987034,-17.3432236
left,329.280382,-4471.488152,-17.3050003
left,329.281435,-4470.987755,-17.244278
left,329.280624,-4470.488392,-17.2137909
left,329.279571,-4469.989038,-17.2108803
left,329.278986,-4469.48918,-17.2421913
left,329.28141999999997,-4468.987603,-17.2985497
left,329.279909,-4468.486985,-17.3987732
left,329.279382,-4467.987287999999,-17.5659485
left,329.28124399999996,-4467.489186,-17.7373962
left,329.280397,-4466.990345,-17.9549599
left,329.280697,-4466.487502,-18.2173729
left,329.280845,-4465.987311,-18.5353737
left,329.279677,-4465.488032,-18.9078903
left,329.280918,-4464.991554,-19.3319092
left,329.279992,-4464.48662,-19.7870064
left,329.28136,-4463.986973,-20.2973518
left,329.280031,-4463.488099,-20.8586349
left,329.27973299999996,-4462.98898,-21.4808731
left,329.78027399999996,-4477.989071999999,-19.4752083
left,329.78155899999996,-4477.489371,-19.0860596
left,329.781809,-4476.988965,-18.7377777
left,329.780505,-4476.48792,-18.4129868
left,329.781928,-4475.986722,-18.1152458
left,329.779813,-4475.4892709999995,-17.8948517
left,329.781336,-4474.987448,-17.6500969
left,329.779341,-4474.490691,-17.4246712
left,329.77868,-4473.987258,-17.2268028
left,329.782869,-4473.489116,-17.054882
left,329.779639,-4472.988787,-16.9004936
left,329.78113199999996,-4472.488203,-16.7709351
left,329.779884,-4471.988068,-16.6668701
left,329.781858,-4471.488195,-16.6398697
left,329.781231,-4470.988996,-16.5839539
left,329.780312,-4470.487883,-16.5535011
left,329.781876,-4469.986207,-16.5542908
left,329.78117699999996,-4469.487453,-16.587307
left,329.779947,-4468.989094,-16.6544647
left,329.781314,-4468.49083,-16.7929344
left,329.782512,-4467.986608,-16.9266853
left,329.781157,-4467.486069,-17.1065941
left,329.780358,-4466.988154,-17.3409004
left,329.780468,-4466.488753,-17.6229019
left,329.780873,-4465.987024999999,-17.9555016
left,329.78076999999996,-4465.488069999999,-18.3435745
left,329.781137,-4464.987778,-18.7552643
left,329.780562,-4464.487391,-19.2307816
left,329.782244,-4463.989377,-19.7659416
left,329.779672,-4463.4898109999995,-20.3529778
left,329.780646,-4462.9904129999995,-21.0103798
left,330.279453,-4477.98895,-18.8659706
left,330.281146,-4477.487083,-18.4660072
left,330.280648,-4476.987825,-18.1140747
left,330.279355,-4476.4897439999995,-17.7888451
left,330.279048,-4475.987469,-17.4882202
left,330.282574,-4475.487586,-17.2109985
left,330.28189599999996,-4474.988401,-17.0241776
left,330.281023,-4474.48752,-16.7970352
left,330.28297499999996,-4473.9852009999995,-16.5965691
left,330.278983,-4473.488891999999,-16.4223747
left,330.282304,-4472.986091,-16.2733498
left,330.281216,-4472.488128999999,-16.1452522
left,330.277226,-4471.987183,-16.0467491
left,330.278909,-4471.489845,-16.0194092
left,330.28072499999996,-4470.988605,-15.963131
left,330.280301,-4470.488136999999,-15.9361191
left,330.280615,-4469.988932,-15.943985
left,330.281675,-4469.489017,-15.9833298
left,330.28081599999996,-4468.988458,-16.0564995
left,330.280942,-4468.487473,-16.1748123
left,330.281731,-4467.9875919999995,-16.3303146
left,330.27930299999997,-4467.487313,-16.5219574
left,330.28180599999996,-4466.987147,-16.7625656
left,330.280314,-4466.486811,-17.0633774
left,330.28038499999997,-4465.986919999999,-17.4055099
left,330.281593,-4465.486989999999,-17.8135223
left,330.282318,-4464.988968,-18.2062263
left,330.28128699999996,-4464.489727,-18.7037811
left,330.280891,-4463.989754,-19.2565651
left,330.279662,-4463.488826,-19.8706284
left,330.278777,-4462.988496999999,-20.5405617
left,330.77946299999996,-4477.98889,-18.3017273
left,330.780547,-4477.490177,-17.8973808
left,330.781093,-4476.988418,-17.5431061
left,330.779863,-4476.489036999999,-17.2156525
left,330.781583,-4475.988042999999,-16.9207268
left,330.780323,-4475.488992,-16.7079849
left,330.78098,-4474.987539,-16.4587135
left,330.779471,-4474.488163999999,-16.2345734
left,330.780909,-4473.98734,-16.0387192
left,330.78090299999997,-4473.486126,-15.8708115
left,330.781411,-4472.989576999999,-15.7273521
left,330.780916,-4472.486701,-15.6031837
left,330.780716,-4471.987717999999,-15.5086708
left,330.779885,-4471.488281999999,-15.4619827
left,330.78007199999996,-4470.988770999999,-15.4144554
left,330.78234699999996,-4470.487628,-15.3949203
left,330.780641,-4469.988143,-15.4119835
left,330.77937499999996,-4469.489069,-15.4607239
left,330.78139,-4468.9878739999995,-15.5446434
left,330.781238,-4468.48954,-15.6553612
left,330.780919,-4467.988134,-15.8123245
left,330.780539,-4467.488662,-16.0134964
left,330.780171,-4466.987501,-16.2695084
left,330.780593,-4466.487642,-16.5811386
left,330.780693,-4465.987382,-16.9371719
left,330.781471,-4465.488819,-17.3417015
left,330.780245,-4464.988464999999,-17.7508049
left,330.780682,-4464.489148,-18.2664986
left,330.77982199999997,-4463.988126,-18.8308983
left,330.779339,-4463.487445,-19.4521141
left,330.78135399999996,-4462.98685,-20.1245003
left,331.28355899999997,-4477.988703,-17.7957268
left,331.28020699999996,-4477.4878229999995,-17.3954506
left,331.280337,-4476.987564,-17.0518913
left,331.28173799999996,-4476.4886209999995,-16.7335396
left,331.280601,-4475.989574,-16.4494553
left,331.28051,-4475.486385,-16.1859093
left,331.280169,-4474.988907999999,-15.970787
left,331.280866,-4474.488332,-15.756031
left,331.27894299999997,-4473.988652,-15.567852
left,331.278762,-4473.486534,-15.4069099
left,331.28173799999996,-4472.986452,-15.2701988
left,331.27824799999996,-4472.488276,-15.157341
left,331.281208,-4471.98884,-15.0746918
left,331.28092399999997,-4471.488367999999,-15.0029869
left,331.28101499999997,-4470.988302,-14.9603462
left,331.28166,-4470.489642,-14.9526634
left,331.28018199999997,-4469.989583,-14.979332
left,331.279943,-4469.488227,-15.0375519
left,331.282403,-4468.988612,-15.1275291
left,331.28161,-4468.488582999999,-15.262516
left,331.278984,-4467.9877989999995,-15.3935051
left,331.282781,-4467.488574999999,-15.6097107
left,331.280359,-4466.98824,-15.8706245
left,331.28092,-4466.486497,-16.1836853
left,331.28162399999997,-4465.9878069999995,-16.5410194
left,331.281703,-4465.488582999999,-16.9486008
left,331.281413,-4464.987451,-17.3772354
left,331.281071,-4464.4901119999995,-17.8898087
left,331.279872,-4463.988818,-18.4546852
left,331.280374,-4463.487926,-19.0682564
left,331.279774,-4462.9875919999995,-19.7322693
left,331.780443,-4477.989721,-17.4082603
left,331.781103,-4477.489304,-17.0194321
left,331.782987,-4476.98776,-16.6807213
left,331.779498,-4476.487553999999,-16.3699341
left,331.779455,-4475.985710999999,-16.083416
left,331.780985,-4475.489398,-15.820961
left,331.78101899999996,-4474.9873769999995,-15.5857773
left,331.78191699999996,-4474.487631,-15.3792076
left,331.780668,-4473.988452,-15.1990967
left,331.77993799999996,-4473.487329,-15.0362892
left,331.780156,-4472.988397,-14.9090309
left,331.78098,-4472.484304,-14.8015022
left,331.7804,-4471.986951,-14.718502
left,331.780698,-4471.487754,-14.6412811
left,331.780553,-4470.990973,-14.6090431
left,331.781166,-4470.487255999999,-14.6081505
left,331.779497,-4469.9910629999995,-14.6340523
left,331.779211,-4469.489243999999,-14.6930161
left,331.78004699999997,-4468.989137,-14.7828598
left,331.781747,-4468.487696,-14.8898544
left,331.779092,-4467.988267,-15.0597687
left,331.781608,-4467.487176,-15.2771454
left,331.78063299999997,-4466.988361,-15.5361252
left,331.78004999999996,-4466.488345,-15.8372345
left,331.780418,-4465.987818,-16.1896973
left,331.782465,-4465.486116,-16.5851364
left,331.78027199999997,-4464.9895719999995,-17.0483017
left,331.78110699999996,-4464.486577,-17.552494
left,331.78044,-4463.99022,-18.1046944
left,331.780287,-4463.490494,-18.7080002
left,331.779607,-4462.988034,-19.3583641
left,332.281351,-4477.98798,-17.1207809
left,332.279434,-4477.488711999999,-16.740963
left,332.28063499999996,-4476.987928,-16.3985291
left,332.280651,-4476.49027,-16.0859871
left,332.28146499999997,-4475.986965,-15.7962456
left,332.28308799999996,-4475.487212999999,-15.5358276
left,332.278912,-4474.988716,-15.2994957
left,332.279818,-4474.487494999999,-15.0940056
left,332.28133099999997,-4473.988133,-14.9100609
left,332.281675,-4473.488483,-14.753212
left,332.281943,-4472.990874,-14.6143036
left,332.280056,-4472.485693,-14.5056877
left,332.281545,-4471.987106,-14.4207458
left,332.280872,-4471.488494,-14.3618317
left,332.28057,-4470.986543,-14.331562
left,332.27955199999997,-4470.487566,-14.3222122
left,332.281451,-4469.990333,-14.34935
left,332.28146899999996,-4469.48865,-14.4006653
left,332.283101,-4468.987889,-14.4860611
left,332.280444,-4468.489412,-14.6073875
left,332.278872,-4467.988174,-14.7837715
left,332.28065599999996,-4467.48842,-14.9905014
left,332.281049,-4466.987841,-15.2406387
left,332.279788,-4466.4873609999995,-15.537365
left,332.281304,-4465.988079,-15.8821106
left,332.279547,-4465.487881,-16.2807655
left,332.280818,-4464.9903699999995,-16.7534943
left,332.281933,-4464.487348,-17.2506027
left,332.28160199999996,-4463.989094,-17.7988625
left,332.280265,-4463.486968,-18.3909416
left,332.27842499999997,-4462.987347,-19.0450287
left,332.780843,-4477.990123,-16.9306335
left,332.78,-4477.4874119999995,-16.5367661
left,332.780302,-4476.986824,-16.179203
left,332.781682,-4476.486756,-15.8529778
left,332.779942,-4475.98707,-15.555748
left,332.781211,-4475.487956,-15.3098373
left,332.780713,-4474.988216,-15.0737152
left,332.77851499999997,-4474.488342,-14.862648
left,332.780826,-4473.988264,-14.6700974
left,332.780241,-4473.487416,-14.5052948
left,332.77945,-4472.988469,-14.3641167
left,332.77934799999997,-4472.489015,-14.2510681
left,332.783413,-4471.986648,-14.1536446
left,332.782657,-4471.488313,-14.1283531
left,332.78016199999996,-4470.988196,-14.092926
left,332.779927,-4470.489711,-14.080349
left,332.78027499999996,-4469.988831,-14.1000633
left,332.780843,-4469.485039,-14.1494713
left,332.780864,-4468.98723,-14.2318649
left,332.780404,-4468.490567,-14.3891563
left,332.779605,-4467.987415,-14.5502396
left,332.78022999999996,-4467.488157,-14.7502327
left,332.780807,-4466.986782999999,-14.9969139
left,332.781991,-4466.488953,-15.2923355
left,332.781429,-4465.988222999999,-15.6409645
left,332.781499,-4465.486887999999,-16.0391808
left,332.78069899999997,-4464.9882529999995,-16.515419
left,332.779481,-4464.487954,-17.0109215
left,332.779895,-4463.988208,-17.5623856
left,332.78184999999996,-4463.4866489999995,-18.166111
left,332.78110899999996,-4462.986841,-18.8425255
left,333.28065,-4477.990011,-16.7181511
left,333.278759,-4477.48773,-16.3175278
left,333.280885,-4476.987341999999,-15.9560394
left,333.28101499999997,-4476.48628,-15.6266937
left,333.28009299999997,-4475.988297,-15.3298683
left,333.282896,-4475.486334,-15.0571671
left,333.279872,-4474.989006,-14.8667068
left,333.28186999999997,-4474.4886289999995,-14.6516991
left,333.28175999999996,-4473.987243,-14.4578133
left,333.28085899999996,-4473.488177,-14.2937279
left,333.281455,-4472.987029,-14.1518593
left,333.280901,-4472.4877289999995,-14.0374107
left,333.28054299999997,-4471.985798,-13.9480553
left,333.28171599999996,-4471.487113,-13.9428101
left,333.280984,-4470.989324,-13.9029961
left,333.280553,-4470.487891,-13.8935738
left,333.280381,-4469.986889,-13.9132004
left,333.279295,-4469.4887499999995,-13.9688454
left,333.281116,-4468.988211,-14.0575905
left,333.281258,-4468.487207,-14.1923027
left,333.280663,-4467.989310999999,-14.3986549
left,333.279384,-4467.488515999999,-14.6019135
left,333.28040899999996,-4466.98811,-14.8622818
left,333.281498,-4466.487128,-15.1737404
left,333.280577,-4465.987073,-15.5405235
left,333.280428,-4465.486883,-15.9552536
left,333.279856,-4464.989291,-16.4240875
left,333.28125,-4464.489539,-16.9361916
left,333.280392,-4463.988248,-17.5074043
left,333.280461,-4463.488619,-18.1364136
left,333.282244,-4462.987355,-18.8339005
left,333.782017,-4477.988237,-16.6048813
left,333.779336,-4477.488953,-16.2001724
left,333.779289,-4476.98754,-15.8299942
left,333.779674,-4476.488851,-15.4987183
left,333.779903,-4475.986797,-15.1942329
left,333.78322099999997,-4475.489576,-14.9910889
left,333.781877,-4474.989942,-14.7460365
left,333.7813,-4474.487532,-14.5292358
left,333.77907799999997,-4473.988701,-14.3352737
left,333.780349,-4473.486782999999,-14.1695938
left,333.782674,-4472.990562,-14.0318527
left,333.77942099999996,-4472.488701,-13.9241753
left,333.779747,-4471.988756,-13.8393707
left,333.78083499999997,-4471.489783,-13.824028
left,333.780795,-4470.988794,-13.7845383
left,333.777875,-4470.489452,-13.7775726
left,333.78099699999996,-4469.988157,-13.8075638
left,333.78133199999996,-4469.488187,-13.8683395
left,333.781745,-4468.987152,-13.9705162
left,333.78148999999996,-4468.489957,-14.1265793
left,333.78171599999996,-4467.990826,-14.2961464
left,333.78119499999997,-4467.486935,-14.5133057
left,333.779748,-4466.9863829999995,-14.7856636
left,333.780575,-4466.488185,-15.1069946
left,333.78063599999996,-4465.988026999999,-15.4890175
left,333.781004,-4465.485702999999,-15.9207573
left,333.782498,-4464.98835,-16.3608551
left,333.78020399999997,-4464.487975999999,-16.8931847
left,333.78245899999996,-4463.986498,-17.4869385
left,333.779429,-4463.488025,-18.1414719
left,333.782454,-4462.987313,-18.8580551
left,334.28000599999996,-4477.987875,-16.5636139
left,334.27894599999996,-4477.489253,-16.1433258
left,334.279839,-4476.98925,-15.7825279
left,334.28007299999996,-4476.490808,-15.451683
left,334.282038,-4475.986771,-15.1568108
left,334.282153,-4475.486368,-14.8937302
left,334.280824,-4474.987109,-14.7028694
left,334.28074899999996,-4474.4874979999995,-14.4887619
left,334.280398,-4473.98759,-14.2980347
left,334.281415,-4473.4880539999995,-14.1435356
left,334.281248,-4472.988803,-14.0089073
left,334.277804,-4472.488847,-13.9075699
left,334.28045199999997,-4471.986682,-13.8308945
left,334.28139,-4471.486554,-13.7916756
left,334.281206,-4470.988384,-13.7620697
left,334.28322199999997,-4470.487312,-13.7648659
left,334.280675,-4469.988386999999,-13.8052864
left,334.27986599999997,-4469.487106,-13.8763962
left,334.28076999999996,-4468.988695,-13.9873199
left,334.28036299999997,-4468.488641,-14.139904
left,334.27930299999997,-4467.988018,-14.2971382
left,334.28036499999996,-4467.488875,-14.5306129
left,334.280283,-4466.987677,-14.8108559
left,334.278712,-4466.48568,-15.1485863
left,334.280965,-4465.986677,-15.5433617
left,334.281876,-4465.4874899999995,-15.9886971
left,334.27944099999996,-4464.989931,-16.4046593
left,334.28072199999997,-4464.490161,-16.9535522
left,334.28087899999997,-4463.987852,-17.5572853
left,334.28173999999996,-4463.48703,-18.2255783
left,334.28277399999996,-4462.987564,-18.9482651
left,334.780082,-4477.98955,-16.6050224
left,334.780268,-4477.488026999999,-16.1989708
left,334.778485,-4476.986379999999,-15.8467674
left,334.782102,-4476.48865,-15.5278244
left,334.779855,-4475.987819999999,-15.2443848
left,334.78110699999996,-4475.4875489999995,-14.9932556
left,334.78166899999997,-4474.986678,-14.7597389
left,334.779804,-4474.487611,-14.5499725
left,334.781236,-4473.989051,-14.3739243
left,334.781861,-4473.489818,-14.2255936
left,334.778546,-4472.986914,-14.1054611
left,334.77894,-4472.487947,-14.0131187
left,334.780147,-4471.9877289999995,-13.9455605
left,334.77936,-4471.488603,-13.8716049
left,334.780778,-4470.987392999999,-13.8526192
left,334.780458,-4470.486553,-13.866684
left,334.780831,-4469.988083,-13.9150848
left,334.780402,-4469.48752,-14.0004158
left,334.77930499999997,-4468.990189,-14.1209869
left,334.780825,-4468.4890399999995,-14.21772
left,334.77797899999996,-4467.988369,-14.4183769
left,334.781088,-4467.487811999999,-14.6660919
left,334.77992,-4466.988676,-14.9569206
left,334.78106099999997,-4466.487055,-15.2997742
left,334.77932699999997,-4465.986283,-15.6963654
left,334.780192,-4465.4867779999995,-16.146904
left,334.781326,-4464.9891259999995,-16.5693398
left,334.779763,-4464.487271999999,-17.1270866
left,334.78223499999996,-4463.989433,-17.7407036
left,334.780782,-4463.487625,-18.3993149
left,334.781864,-4462.987372,-19.1192017
left,335.279159,-4477.989944999999,-16.7824287
left,335.279908,-4477.489095,-16.3839684
left,335.280577,-4476.988428,-16.0353317
left,335.279557,-4476.487442,-15.7241516
left,335.279482,-4475.988203,-15.442028
left,335.281687,-4475.4893329999995,-15.1879578
left,335.280666,-4474.987983999999,-14.941452
left,335.28036599999996,-4474.488425,-14.7426147
left,335.280713,-4473.99011,-14.5724945
left,335.281318,-4473.487580999999,-14.4282112
left,335.279946,-4472.988343999999,-14.3152084
left,335.27991299999996,-4472.489276,-14.2229958
left,335.28101699999996,-4471.985976999999,-14.1586723
left,335.28261599999996,-4471.488735,-14.071125
left,335.280284,-4470.986809999999,-14.0641899
left,335.2803,-4470.487692,-14.0870361
left,335.280376,-4469.986978,-14.1387825
left,335.279795,-4469.488539999999,-14.2278328
left,335.28232199999997,-4468.988553,-14.34618
left,335.28178199999996,-4468.491308,-14.5076561
left,335.281688,-4467.989224,-14.6513252
left,335.27986599999997,-4467.4863399999995,-14.9021721
left,335.282372,-4466.9892469999995,-15.2013054
left,335.281567,-4466.488201,-15.5400734
left,335.27999,-4465.986629999999,-15.9310493
left,335.278214,-4465.487744,-16.3698845
left,335.279087,-4464.987892,-16.8197365
left,335.280752,-4464.487347,-17.3697395
left,335.27951099999996,-4463.987109,-17.9729958
left,335.279833,-4463.488581,-18.6240997
left,335.280402,-4462.987527,-19.3363724
left,335.77829199999996,-4477.989895,-17.1138535
left,335.779543,-4477.487948,-16.7160225
left,335.780692,-4476.987271999999,-16.3664932
left,335.779649,-4476.487098,-16.0472641
left,335.78148799999997,-4475.9881589999995,-15.7564201
left,335.780464,-4475.488126,-15.467144
left,335.780934,-4474.988676999999,-15.2401428
left,335.780753,-4474.487469,-15.0483894
left,335.782874,-4473.98727,-14.8803596
left,335.78182499999997,-4473.48819,-14.7355347
left,335.782173,-4472.987219,-14.6104431
left,335.78027099999997,-4472.488119,-14.5172768
left,335.78000199999997,-4471.986033,-14.4438286
left,335.781745,-4471.488488999999,-14.3808899
left,335.782453,-4470.987975,-14.3671188
left,335.781418,-4470.490227,-14.3917465
left,335.781005,-4469.987656,-14.440609
left,335.781075,-4469.4872,-14.5203934
left,335.781236,-4468.987760999999,-14.6353645
left,335.780412,-4468.489621,-14.768383
left,335.78090699999996,-4467.9894349999995,-14.970253
left,335.78016199999996,-4467.488899999999,-15.2123566
left,335.778976,-4466.98715,-15.5036545
left,335.779902,-4466.488169,-15.8334198
left,335.781742,-4465.988264,-16.2160301
left,335.780011,-4465.489393,-16.6496124
left,335.780561,-4464.990519,-17.135273
left,335.780445,-4464.489386,-17.672123
left,335.78022599999997,-4463.986975,-18.2659912
left,335.78103799999997,-4463.487613,-18.9142532
left,335.78313099999997,-4462.9869229999995,-19.6203728
left,336.280222,-4477.989464,-17.4379578
left,336.282243,-4477.487849,-17.045845
left,336.28131199999996,-4476.987803,-16.6960945
left,336.280373,-4476.487897999999,-16.3766518
left,336.279628,-4475.987228,-16.0834122
left,336.281526,-4475.485673,-15.8206711
left,336.282473,-4474.987464,-15.5970879
left,336.278589,-4474.489308,-15.3951645
left,336.28006,-4473.987228,-15.2254295
left,336.280622,-4473.488108,-15.0779686
left,336.280512,-4472.986903,-14.9532204
left,336.281552,-4472.490056,-14.8549881
left,336.279039,-4471.987588999999,-14.7826385
left,336.28088199999996,-4471.488574999999,-14.7466583
left,336.280075,-4470.986529,-14.7372551
left,336.27991599999996,-4470.487494999999,-14.7561531
left,336.27946599999996,-4469.987018,-14.7991409
left,336.280286,-4469.489281,-14.8843956
left,336.280122,-4468.986824,-14.9995995
left,336.28171,-4468.485266,-15.1540565
left,336.280011,-4467.988356,-15.3638458
left,336.280427,-4467.489703,-15.6074104
left,336.28065499999997,-4466.987319,-15.8973389
left,336.279365,-4466.489125,-16.2320023
left,336.281097,-4465.989259999999,-16.6177368
left,336.27905799999996,-4465.489328,-17.0647049
left,336.279682,-4464.991116,-17.5691414
left,336.281058,-4464.490522,-18.1147614
left,336.281753,-4463.987443,-18.7149315
left,336.27997999999997,-4463.4872399999995,-19.372097
left,336.28180299999997,-4462.989288,-20.0906982
left,336.78009299999997,-4477.988590999999,-17.9330177
left,336.782114,-4477.487406,-17.5222282
left,336.77898799999997,-4476.987768999999,-17.1571121
left,336.780841,-4476.486216,-16.815464
left,336.781096,-4475.987449,-16.5132713
left,336.780827,-4475.490033,-16.2825584
left,336.78088199999996,-4474.98823,-16.0474205
left,336.781254,-4474.487537999999,-15.8349838
left,336.779227,-4473.990336,-15.6503143
left,336.779952,-4473.490336,-15.4913902
left,336.779876,-4472.989578,-15.3604202
left,336.78344599999997,-4472.487357999999,-15.254921
left,336.781498,-4471.987228,-15.178978
left,336.78047399999997,-4471.487929,-15.1721611
left,336.780333,-4470.987328,-15.1546211
left,336.779761,-4470.488198999999,-15.1637611
left,336.780043,-4469.986464,-15.2056656
left,336.78189399999997,-4469.48966,-15.2854309
left,336.781687,-4468.98689,-15.4024811
left,336.780939,-4468.487673,-15.5893936
left,336.78103899999996,-4467.988832999999,-15.7862282
left,336.779458,-4467.489548,-16.0239639
left,336.780315,-4466.988693,-16.3163719
left,336.78082,-4466.489821,-16.6579933
left,336.782443,-4465.988262,-17.053524
left,336.779298,-4465.489106999999,-17.5037308
left,336.781205,-4464.986199,-18.009201
left,336.780674,-4464.48601,-18.5589027
left,336.77896,-4463.988359999999,-19.1713715
left,336.781182,-4463.487716,-19.8474655
left,336.782407,-4462.986083,-20.5849457
left,337.280757,-4477.988795,-18.4568748
left,337.28091,-4477.487286,-18.0275726
left,337.281072,-4476.9878,-17.647007
left,337.280877,-4476.487231,-17.3087654
left,337.282519,-4475.988902,-17.0037155
left,337.28059099999996,-4475.485815999999,-16.731945
left,337.27912,-4474.988983,-16.5466042
