laser wavelength:1510nm,set power:1.0dBm,grid dimension:31
left,328.279977,-4464.485172,-21.5535507
left,328.27930299999997,-4463.9873099999995,-22.0829735
left,328.28138,-4463.486377,-22.6942177
left,328.282897,-4462.985968,-23.3741417
left,328.781119,-4477.986858,-20.9081802
left,328.780382,-4477.486842,-20.4920959
left,328.780122,-4476.984804,-20.1184807
left,328.77975699999996,-4476.485157,-19.7786942
left,328.781888,-4475.985256,-19.4640503
left,328.780174,-4475.487247999999,-19.2330322
left,328.778153,-4474.9864019999995,-18.9825745
left,328.779408,-4474.4857839999995,-18.756485
left,328.781076,-4473.985497,-18.5593414
left,328.77912499999996,-4473.484931,-18.3875313
left,328.782193,-4472.984209,-18.2344742
left,328.780132,-4472.483977,-18.1119003
left,328.779636,-4471.986011,-18.0110435
left,328.781663,-4471.486527,-17.9823837
left,328.78126299999997,-4470.986334,-17.9304314
left,328.781824,-4470.485275999999,-17.912159
left,328.782777,-4469.985692,-17.9127808
left,328.78050099999996,-4469.48415,-17.951683
left,328.782174,-4468.986417,-18.0183182
left,328.781392,-4468.4865039999995,-18.174057
left,328.780417,-4467.985709,-18.31567
left,328.781338,-4467.4854399999995,-18.5043869
left,328.781968,-4466.982639,-18.7556572
left,328.77892199999997,-4466.485512,-19.0404968
left,328.78002499999997,-4465.985525,-19.3778725
left,328.779639,-4465.485254,-19.7827339
left,328.78172,-4464.984831,-20.2372322
left,328.78018499999996,-4464.485234,-20.7362137
left,328.780885,-4463.986385,-21.2818336
left,328.780933,-4463.485957,-21.9059982
left,328.78022699999997,-4462.984045,-22.583725
left,329.28000399999996,-4477.987748,-20.1532211
left,329.28072299999997,-4477.486749,-19.738678
left,329.28205099999997,-4476.986131,-19.3730621
left,329.28007299999996,-4476.485344,-19.03899
left,329.279491,-4475.984194,-18.734623
left,329.281548,-4475.48606,-18.4558182
left,329.27968899999996,-4474.983789,-18.2547989
left,329.279503,-4474.485356,-18.02314
left,329.281996,-4473.984867,-17.8235168
left,329.27995599999997,-4473.484542,-17.6496277
left,329.283003,-4472.986045,-17.504425
left,329.280705,-4472.485917,-17.3941536
left,329.281869,-4471.9849349999995,-17.2990913
left,329.280803,-4471.4837529999995,-17.259407
left,329.280469,-4470.986858,-17.2120399
left,329.281383,-4470.486405,-17.1932869
left,329.27998199999996,-4469.985691,-17.2069054
left,329.281967,-4469.4873259999995,-17.2506866
left,329.279806,-4468.9862109999995,-17.3293457
left,329.28117399999996,-4468.484394,-17.4489441
left,329.28026,-4467.986838,-17.6081238
left,329.28029499999997,-4467.48639,-17.7981567
left,329.280946,-4466.986878,-18.0440598
left,329.279022,-4466.484921,-18.3399048
left,329.27943999999997,-4465.985267999999,-18.6941452
left,329.279773,-4465.485323,-19.101738
left,329.277555,-4464.985876,-19.5195618
left,329.279029,-4464.486467,-20.0286293
left,329.28171,-4463.985132,-20.5994492
left,329.28164,-4463.485763,-21.2249527
left,329.279748,-4462.985552,-21.932209
left,329.779763,-4477.986858,-19.4492111
left,329.781428,-4477.484391999999,-19.0367737
left,329.78049,-4476.985481,-18.679554
left,329.77984,-4476.488573,-18.3486786
left,329.778435,-4475.986206,-18.0481682
left,329.78137,-4475.484941,-17.821476
left,329.781279,-4474.986559,-17.5739059
left,329.780899,-4474.48578,-17.3532372
left,329.780808,-4473.985607,-17.1605682
left,329.783952,-4473.485165,-16.994957
left,329.780693,-4472.986122,-16.851284
left,329.779764,-4472.484198,-16.7424889
left,329.780826,-4471.984436,-16.6486092
left,329.780666,-4471.483518999999,-16.6107063
left,329.782742,-4470.984621,-16.5710449
left,329.77876399999997,-4470.486994,-16.5564384
left,329.781232,-4469.986742,-16.5830231
left,329.781314,-4469.48493,-16.6306725
left,329.78042899999997,-4468.986675,-16.7244568
left,329.782293,-4468.487015,-16.8311844
left,329.780854,-4467.986259,-16.9939346
left,329.779637,-4467.4848,-17.1942444
left,329.779361,-4466.987623,-17.4616356
left,329.779399,-4466.486863,-17.7753372
left,329.782603,-4465.983967,-18.1223564
left,329.78009599999996,-4465.485471999999,-18.5510101
left,329.780268,-4464.985685,-18.968586
left,329.779942,-4464.486997,-19.4837151
left,329.780784,-4463.985306,-20.0636559
left,329.780334,-4463.485267,-20.7134933
left,329.779051,-4462.983541,-21.4144974
left,330.27973099999997,-4477.985181,-18.8439026
left,330.278926,-4477.4832639999995,-18.4337959
left,330.281975,-4476.985632,-18.0873375
left,330.280941,-4476.484828,-17.7596703
left,330.281748,-4475.985192,-17.4678307
left,330.279903,-4475.487274,-17.1941757
left,330.28085999999996,-4474.986139,-16.9752388
left,330.282087,-4474.484765,-16.7636833
left,330.28101899999996,-4473.986929,-16.5783844
left,330.280756,-4473.4861169999995,-16.4188766
left,330.280129,-4472.983988,-16.2839813
left,330.28045199999997,-4472.484046,-16.175087
left,330.280323,-4471.986773,-16.0891075
left,330.279816,-4471.485627,-16.0432777
left,330.278126,-4470.984679,-16.000206
left,330.281584,-4470.486562,-15.9985886
left,330.28067,-4469.985364,-16.0201569
left,330.281448,-4469.487051,-16.0902557
left,330.281867,-4468.986941,-16.178791
left,330.279675,-4468.485411,-16.3031502
left,330.28025399999996,-4467.985298,-16.4534111
left,330.27980199999996,-4467.486147,-16.6627007
left,330.27876499999996,-4466.986672999999,-16.9273529
left,330.282194,-4466.484031,-17.2446213
left,330.27989099999996,-4465.985124,-17.6034126
left,330.281211,-4465.484743,-18.0115738
left,330.280579,-4464.98682,-18.4445419
left,330.280804,-4464.4848759999995,-18.9607773
left,330.280731,-4463.985718,-19.5439339
left,330.282964,-4463.48424,-20.1763306
left,330.280348,-4462.983910999999,-20.8611336
left,330.78144699999996,-4477.986852999999,-18.3496017
left,330.781838,-4477.484109,-17.9520836
left,330.781181,-4476.985025,-17.5931587
left,330.781373,-4476.485512,-17.274971
left,330.779544,-4475.9844809999995,-16.9712257
left,330.78112,-4475.486103,-16.7288857
left,330.78083399999997,-4474.985075,-16.4946938
left,330.781322,-4474.48543,-16.2737808
left,330.780576,-4473.9867779999995,-16.0918503
left,330.780445,-4473.487176,-15.9325867
left,330.777646,-4472.985987,-15.7956696
left,330.78083,-4472.485478,-15.6834412
left,330.780032,-4471.984891,-15.595829
left,330.77975299999997,-4471.486621,-15.5546036
left,330.782399,-4470.984681,-15.5249863
left,330.78058599999997,-4470.485281,-15.5176964
left,330.781584,-4469.984292,-15.5428925
left,330.78106099999997,-4469.485211,-15.5994949
left,330.781369,-4468.986895999999,-15.6885338
left,330.779985,-4468.485005,-15.8247528
left,330.77802299999996,-4467.986112,-15.9856339
left,330.778119,-4467.486264,-16.1942329
left,330.78076899999996,-4466.986874,-16.4547958
left,330.78178499999996,-4466.4852,-16.7542992
left,330.780608,-4465.986021,-17.1062546
left,330.779804,-4465.48561,-17.507309
left,330.779877,-4464.984676,-17.9770432
left,330.780526,-4464.485963,-18.4892197
left,330.780649,-4463.983714,-19.050354
left,330.781876,-4463.484404,-19.6634979
left,330.78018399999996,-4462.986429,-20.3343544
left,331.278889,-4477.987384,-17.9169502
left,331.27957799999996,-4477.485512,-17.5215416
left,331.279989,-4476.9867939999995,-17.1503334
left,331.28121999999996,-4476.48499,-16.8371353
left,331.280641,-4475.985164,-16.5393105
left,331.282353,-4475.486017,-16.2652435
left,331.281685,-4474.986081999999,-16.0598488
left,331.280667,-4474.483359,-15.8489761
left,331.280717,-4473.984664,-15.6671715
left,331.280466,-4473.485121,-15.4988861
left,331.281846,-4472.985482,-15.3623047
left,331.279707,-4472.484101999999,-15.2569885
left,331.27885599999996,-4471.985664,-15.168705
left,331.27978099999996,-4471.485947,-15.1355934
left,331.280756,-4470.985347,-15.0989838
left,331.280736,-4470.484410999999,-15.0955238
left,331.279897,-4469.986021,-15.1191978
left,331.280395,-4469.486062,-15.1659088
left,331.279016,-4468.9878069999995,-15.2507019
left,331.281364,-4468.4856389999995,-15.3686333
left,331.278977,-4467.9866059999995,-15.5603638
left,331.278637,-4467.485106,-15.7644806
left,331.280202,-4466.986627,-16.0149498
left,331.27955299999996,-4466.484007999999,-16.3011055
left,331.280314,-4465.986558,-16.6511841
left,331.282925,-4465.487811,-17.0445442
left,331.28155,-4464.984922,-17.5251007
left,331.28142099999997,-4464.485600999999,-18.0230446
left,331.280334,-4463.986135,-18.5697975
left,331.280312,-4463.484453,-19.1746216
left,331.28154,-4462.985884,-19.8330345
left,331.779319,-4477.984885,-17.5522537
left,331.78180399999997,-4477.485778,-17.1612778
left,331.779292,-4476.984891,-16.7897568
left,331.780578,-4476.485812,-16.4652786
left,331.780397,-4475.986443,-16.1691208
left,331.78267999999997,-4475.4856549999995,-15.9274635
left,331.782018,-4474.985885,-15.6863403
left,331.780865,-4474.485212,-15.4684105
left,331.778739,-4473.985359,-15.283802
left,331.778974,-4473.485298,-15.1223373
left,331.782064,-4472.985837,-14.985218
left,331.780507,-4472.485623,-14.8722954
left,331.780491,-4471.984245,-14.7820015
left,331.779763,-4471.4858269999995,-14.7533112
left,331.78025199999996,-4470.986099,-14.7205086
left,331.780892,-4470.4862219999995,-14.711956
left,331.78034199999996,-4469.986675,-14.72089
left,331.78033899999997,-4469.484824,-14.7733345
left,331.78218699999996,-4468.985605,-14.8576088
left,331.781036,-4468.486664,-15.0149612
left,331.778995,-4467.985903,-15.176796
left,331.78002799999996,-4467.485571,-15.3750839
left,331.780257,-4466.986282,-15.6123199
left,331.77775199999996,-4466.486315,-15.9065399
left,331.7786,-4465.987322999999,-16.2482719
left,331.78105999999997,-4465.484252,-16.6450348
left,331.78024899999997,-4464.986799,-17.1245041
left,331.779767,-4464.484552,-17.6100044
left,331.78241099999997,-4463.985016,-18.1539879
left,331.77993,-4463.484372,-18.7596703
left,331.780798,-4462.985293,-19.4259605
left,332.28252299999997,-4477.986779,-17.250679
left,332.281178,-4477.484104,-16.8341713
left,332.281674,-4476.985994,-16.4765358
left,332.281351,-4476.483521,-16.1402092
left,332.279094,-4475.986266,-15.8537865
left,332.28135699999996,-4475.486378,-15.5877914
left,332.28085599999997,-4474.986908,-15.3888779
left,332.281092,-4474.485079,-15.1656837
left,332.27831599999996,-4473.985481,-14.9754181
left,332.28133399999996,-4473.486368,-14.8204269
left,332.27964099999997,-4472.985496,-14.6786232
left,332.279616,-4472.484131,-14.5745811
left,332.280939,-4471.983953999999,-14.4882126
left,332.279275,-4471.4872239999995,-14.4582176
left,332.279044,-4470.9847819999995,-14.410183
left,332.279606,-4470.4856979999995,-14.4072762
left,332.281103,-4469.986285,-14.4241447
left,332.280804,-4469.485388,-14.4799652
left,332.279994,-4468.984794999999,-14.5682564
left,332.28085,-4468.485205999999,-14.6966248
left,332.281576,-4467.988252,-14.8780708
left,332.27964199999997,-4467.486781,-15.0776825
left,332.280709,-4466.985648,-15.3126068
left,332.279857,-4466.485917,-15.6135788
left,332.284354,-4465.984872,-15.9754753
left,332.281166,-4465.48506,-16.3661156
left,332.279815,-4464.985022,-16.8166771
left,332.279424,-4464.486566,-17.3027
left,332.27928299999996,-4463.986476,-17.86129
left,332.281207,-4463.483784999999,-18.4821014
left,332.27995,-4462.985591,-19.1645508
left,332.780666,-4477.986819,-16.9947739
left,332.78178299999996,-4477.485075,-16.5879478
left,332.781527,-4476.986768,-16.232151
left,332.780777,-4476.483912,-15.9022942
left,332.782469,-4475.984257,-15.6163216
left,332.781988,-4475.484866,-15.3842201
left,332.78276999999997,-4474.986344999999,-15.1367455
left,332.780578,-4474.486581,-14.9254951
left,332.78038699999996,-4473.986986,-14.7461128
left,332.780917,-4473.485624,-14.589138
left,332.779481,-4472.985557999999,-14.4583397
left,332.781049,-4472.485686999999,-14.346283
left,332.780369,-4471.985282,-14.2698631
left,332.78263999999996,-4471.4849699999995,-14.2257309
left,332.78116,-4470.987131,-14.1880875
left,332.781157,-4470.486492999999,-14.1896782
left,332.78006999999997,-4469.984695,-14.2170296
left,332.781156,-4469.48435,-14.284008
left,332.780936,-4468.984966,-14.3852806
left,332.781459,-4468.487529,-14.4942513
left,332.77975,-4467.984413,-14.6590576
left,332.778869,-4467.485493,-14.8687935
left,332.781211,-4466.983467,-15.1347046
left,332.78022899999996,-4466.485764999999,-15.4423676
left,332.780828,-4465.985606,-15.8031845
left,332.78184699999997,-4465.485509,-16.2255974
left,332.78270799999996,-4464.988333,-16.6244087
left,332.78026,-4464.48341,-17.1299744
left,332.781719,-4463.984662,-17.7092247
left,332.782443,-4463.485627,-18.3486099
left,332.779858,-4462.985825,-19.0468864
left,333.281155,-4477.986898,-16.7739754
left,333.280469,-4477.486919999999,-16.3735619
left,333.28033999999997,-4476.9858189999995,-16.0251427
left,333.280465,-4476.484362,-15.7138367
left,333.282947,-4475.985927,-15.4274559
left,333.282066,-4475.484116,-15.1753197
left,333.28018499999996,-4474.983584,-14.9613495
left,333.2781,-4474.485734,-14.761219
left,333.281393,-4473.985627999999,-14.5878716
left,333.28087999999997,-4473.483955,-14.4370079
left,333.280823,-4472.985839,-14.3162193
left,333.279048,-4472.484009,-14.2185059
left,333.28087,-4471.985624,-14.1467209
left,333.280215,-4471.487489,-14.0865974
left,333.278483,-4470.986807,-14.0665131
left,333.28099399999996,-4470.486336999999,-14.080616
left,333.280196,-4469.983703,-14.1143913
left,333.281279,-4469.4840939999995,-14.1813927
left,333.280772,-4468.98318,-14.2992249
left,333.280976,-4468.484929,-14.4430962
left,333.28085599999997,-4467.985468,-14.5821991
left,333.279515,-4467.486616,-14.8061562
left,333.277992,-4466.985301,-15.0823822
left,333.282584,-4466.484961,-15.4054756
left,333.280259,-4465.983738,-15.7703094
left,333.27905599999997,-4465.486224,-16.2039604
left,333.279973,-4464.986798,-16.5870552
left,333.279293,-4464.4852359999995,-17.131855
left,333.282446,-4463.986554,-17.7201576
left,333.281954,-4463.486298,-18.3654137
left,333.27712199999996,-4462.985861,-19.0748901
left,333.77917099999996,-4477.987166,-16.728363
left,333.779526,-4477.485731,-16.3415871
left,333.780263,-4476.985599,-15.9908981
left,333.78012,-4476.485019,-15.6887894
left,333.781629,-4475.984268,-15.4029312
left,333.78169499999996,-4475.484382,-15.1352997
left,333.78290999999996,-4474.986718,-14.9175491
left,333.77833599999997,-4474.485946,-14.717495
left,333.77923699999997,-4473.987499,-14.5420876
left,333.780349,-4473.484684999999,-14.4029617
left,333.78104199999996,-4472.986169,-14.2815666
left,333.78055,-4472.483727,-14.1828423
left,333.781997,-4471.984938,-14.1165581
left,333.781301,-4471.484678,-14.0564346
left,333.779569,-4470.985052,-14.0363846
left,333.78074899999996,-4470.484498,-14.053421
left,333.780422,-4469.986389,-14.0917778
left,333.779944,-4469.484933,-14.1703072
left,333.779545,-4468.987607999999,-14.2812347
left,333.78317899999996,-4468.484958,-14.3873711
left,333.779561,-4467.984407,-14.5703812
left,333.781027,-4467.486059,-14.7972488
left,333.779702,-4466.9828,-15.0761261
left,333.779984,-4466.484949,-15.3995514
left,333.78124099999997,-4465.986347999999,-15.7634163
left,333.782158,-4465.485498,-16.1834602
left,333.780507,-4464.983878999999,-16.6196938
left,333.780035,-4464.487545999999,-17.1430931
left,333.78209499999997,-4463.988263,-17.7219391
left,333.780553,-4463.4861599999995,-18.3601341
left,333.779337,-4462.985707,-19.055851
left,334.282078,-4477.9873689999995,-16.7710762
left,334.279253,-4477.485345,-16.3806915
left,334.280133,-4476.985059,-16.0262451
left,334.281685,-4476.484952,-15.7120743
left,334.282179,-4475.986559999999,-15.427784
left,334.279197,-4475.485170999999,-15.1682701
left,334.27999,-4474.986897,-14.9487648
left,334.280671,-4474.486127,-14.7474174
left,334.28144299999997,-4473.9858859999995,-14.5852852
left,334.28044,-4473.484659,-14.4307327
left,334.28038499999997,-4472.983802,-14.3086205
left,334.281094,-4472.483491,-14.2062607
left,334.279061,-4471.985852,-14.1409302
left,334.27982399999996,-4471.484675,-14.0977364
left,334.28045199999997,-4470.9872829999995,-14.0784874
left,334.280042,-4470.483967,-14.0912247
left,334.280825,-4469.985659,-14.1296387
left,334.279684,-4469.485856,-14.2055664
left,334.280311,-4468.986099,-14.3087044
left,334.28065599999996,-4468.485662,-14.4415092
left,334.280403,-4467.9869149999995,-14.6295319
left,334.281321,-4467.4851929999995,-14.8523483
left,334.27995799999997,-4466.986997,-15.1261292
left,334.280652,-4466.485409,-15.432827
left,334.280889,-4465.984206,-15.7915306
left,334.28000299999997,-4465.486436,-16.1983986
left,334.280674,-4464.986328,-16.6582909
left,334.281389,-4464.4850719999995,-17.1779366
left,334.278334,-4463.986016,-17.751194
left,334.279548,-4463.4844969999995,-18.3626251
left,334.279296,-4462.983948,-19.0495796
left,334.78018599999996,-4477.986314,-16.8917389
left,334.780685,-4477.486822,-16.4970779
left,334.779492,-4476.985318,-16.1415138
left,334.78166,-4476.485334,-15.8137398
left,334.781148,-4475.985712,-15.525135
left,334.779436,-4475.486592,-15.2864647
left,334.780529,-4474.985146,-15.0567856
left,334.779859,-4474.486154,-14.8556328
left,334.780461,-4473.985277,-14.6766586
left,334.779053,-4473.482565,-14.5172958
left,334.78117599999996,-4472.985825,-14.3934479
left,334.779878,-4472.484955,-14.2986832
left,334.780641,-4471.983145,-14.2156868
left,334.780547,-4471.484644,-14.2035217
left,334.781293,-4470.9856469999995,-14.1796417
left,334.77883499999996,-4470.486991,-14.1933708
left,334.780694,-4469.985933,-14.2241592
left,334.780393,-4469.486679,-14.2977829
left,334.78056399999997,-4468.98394,-14.387455
left,334.780263,-4468.4858619999995,-14.558712
left,334.780372,-4467.986371,-14.7272186
left,334.779899,-4467.484869,-14.9563332
left,334.78078899999997,-4466.986083,-15.2060242
left,334.781749,-4466.485719,-15.51614
left,334.779874,-4465.98581,-15.8685532
left,334.780192,-4465.485904,-16.2585602
left,334.77938,-4464.987341999999,-16.7676582
left,334.781259,-4464.4864259999995,-17.2658195
left,334.779774,-4463.986994,-17.8206291
left,334.781028,-4463.484921,-18.4282303
left,334.782409,-4462.985261,-19.0993423
left,335.28209799999996,-4477.985735,-17.0625191
left,335.28135,-4477.488171999999,-16.6619072
left,335.281271,-4476.985975,-16.3063812
left,335.28056499999997,-4476.484801,-15.9762001
left,335.280461,-4475.984825,-15.679718
left,335.279962,-4475.486483,-15.423275
left,335.278572,-4474.986394,-15.2343979
left,335.281228,-4474.485393999999,-15.0203285
left,335.27988899999997,-4473.986938999999,-14.8396339
left,335.28058799999997,-4473.4848759999995,-14.6835403
left,335.280629,-4472.987443,-14.5472755
left,335.280625,-4472.4844969999995,-14.4590492
left,335.28004899999996,-4471.9863399999995,-14.3783722
left,335.27937299999996,-4471.4855179999995,-14.3757553
left,335.280019,-4470.983525,-14.3432961
left,335.280457,-4470.485275999999,-14.3448944
left,335.280489,-4469.984186,-14.3826065
left,335.279931,-4469.484825,-14.4540291
left,335.27946,-4468.988856999999,-14.5510445
left,335.28110899999996,-4468.486081999999,-14.6830406
left,335.278928,-4467.9860309999995,-14.8967361
left,335.280199,-4467.486146,-15.10952
left,335.282702,-4466.9868989999995,-15.3682213
left,335.279379,-4466.487045,-15.6761551
left,335.281911,-4465.9857059999995,-16.0386848
left,335.27858799999996,-4465.484609,-16.4396858
left,335.28123,-4464.9852089999995,-16.9221649
left,335.28101,-4464.486825999999,-17.4103241
left,335.28087899999997,-4463.984637,-17.964901
left,335.281092,-4463.487806,-18.5828781
left,335.279918,-4462.985033999999,-19.2650871
left,335.781521,-4477.98582,-17.3281784
left,335.781479,-4477.4866489999995,-16.9068031
left,335.77912,-4476.985595,-16.5539627
left,335.7797,-4476.482908,-16.2291069
left,335.781159,-4475.985436,-15.9365807
left,335.779999,-4475.486422,-15.7038002
left,335.781254,-4474.986846,-15.4781532
left,335.778912,-4474.484528,-15.2646828
left,335.780989,-4473.986266,-15.0930176
left,335.77859,-4473.485567,-14.9326057
left,335.78049999999996,-4472.986017,-14.8170662
left,335.779268,-4472.486454,-14.7133141
left,335.781246,-4471.9827669999995,-14.6371841
left,335.781035,-4471.484735,-14.6140518
left,335.780103,-4470.987003,-14.5858421
left,335.77926299999996,-4470.485989,-14.5937729
left,335.780873,-4469.985098,-14.6430359
left,335.78106199999996,-4469.48464,-14.7132454
left,335.780166,-4468.987175,-14.8320274
left,335.77914699999997,-4468.48654,-14.9716492
left,335.781658,-4467.98527,-15.1457825
left,335.780764,-4467.485568,-15.3617287
left,335.77975399999997,-4466.985189999999,-15.6354485
left,335.78200999999996,-4466.48387,-15.9508133
left,335.78081099999997,-4465.98486,-16.3155441
left,335.780211,-4465.483134,-16.7425346
left,335.777431,-4464.9862969999995,-17.1718826
left,335.78090499999996,-4464.485186,-17.6824226
left,335.78189599999996,-4463.986594,-18.2659912
left,335.782895,-4463.48631,-18.8911858
left,335.779872,-4462.985954,-19.5863609
left,336.279571,-4477.986224,-17.5952454
left,336.27943999999997,-4477.488018,-17.1894836
left,336.28054099999997,-4476.986135,-16.8517075
left,336.280248,-4476.485118,-16.5287933
left,336.27986799999996,-4475.986204,-16.2458305
left,336.281408,-4475.484477,-16.0014801
left,336.279669,-4474.985624,-15.7875252
left,336.279931,-4474.486572,-15.5956421
left,336.282383,-4473.985261,-15.4307709
left,336.28124199999996,-4473.485965,-15.2890854
left,336.28031799999997,-4472.98565,-15.1755829
left,336.27903,-4472.4869499999995,-15.0893936
left,336.282317,-4471.986741,-15.0197945
left,336.279874,-4471.487198,-14.9563446
left,336.281275,-4470.985708,-14.9498405
left,336.277898,-4470.485185,-14.9719582
left,336.27964299999996,-4469.9844969999995,-15.0355644
left,336.282064,-4469.485167,-15.1209373
left,336.281193,-4468.985332,-15.2534866
left,336.279874,-4468.485181999999,-15.4165688
left,336.280322,-4467.986169,-15.5506134
left,336.280697,-4467.484496,-15.7919006
left,336.281002,-4466.985968999999,-16.0800934
left,336.27896499999997,-4466.484539,-16.4103279
left,336.28117399999996,-4465.98452,-16.7955322
left,336.280832,-4465.485092,-17.2410583
left,336.280958,-4464.984463,-17.6302376
left,336.279505,-4464.487208,-18.1662292
left,336.28111,-4463.984313999999,-18.7594337
left,336.279772,-4463.48669,-19.4100761
left,336.27889999999996,-4462.985349,-20.1349716
left,336.780444,-4477.987051,-18.0794182
left,336.779625,-4477.486543999999,-17.6725044
left,336.779658,-4476.985856,-17.3370132
left,336.778979,-4476.484025,-17.0265274
left,336.781306,-4475.985359,-16.7513809
left,336.78182699999996,-4475.486919,-16.4841766
left,336.78241099999997,-4474.986566,-16.2656746
left,336.77955499999996,-4474.486265,-16.0654755
left,336.780616,-4473.98682,-15.9111023
left,336.78135399999996,-4473.484794999999,-15.7749939
left,336.77941599999997,-4472.983829,-15.6670456
left,336.779196,-4472.485146999999,-15.5755119
left,336.77844699999997,-4471.9833419999995,-15.524147
left,336.780606,-4471.487491,-15.447319
left,336.782384,-4470.985798,-15.4441872
left,336.780284,-4470.484574,-15.480442
left,336.781584,-4469.986688999999,-15.5363846
left,336.78084,-4469.485068,-15.6270409
left,336.78,-4468.984874,-15.7715721
left,336.78017,-4468.486326,-15.8545952
left,336.780751,-4467.985228,-16.0581055
left,336.779267,-4467.486806,-16.3018265
left,336.77948299999997,-4466.985357,-16.6018105
left,336.78124299999996,-4466.487372,-16.9614868
left,336.778873,-4465.985588,-17.349247
left,336.781207,-4465.486175999999,-17.7904243
left,336.780732,-4464.983078,-18.1790886
left,336.781227,-4464.484218,-18.7252693
left,336.77969099999996,-4463.9847819999995,-19.3400421
left,336.77872099999996,-4463.485216,-20.0006905
left,336.781053,-4462.984036,-20.7264328
left,337.27914499999997,-4477.986543,-18.6590004
left,337.28075,-4477.486497,-18.2677269
left,337.27955499999996,-4476.985188,-17.928936
left,337.280293,-4476.485453,-17.6174583
left,337.280302,-4475.985218,-17.353569
left,337.277925,-4475.486865,-17.0958748
